id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-08-20T19:28:27;payment unleash Jamaican Dollar;1
2;Rest;2020-08-21T14:44:57;Plains;2
3;Quality Plastic plum;2020-08-20T19:05:19;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-08-21T15:32:31;Architect SSL;4
5;zero tolerance;2020-08-21T12:28:50;user-facing CSS;5
6;ADP Ouguiya;2020-08-21T08:25:18;Garden;6
7;auxiliary;2020-08-21T16:41:18;functionalities Bedfordshire withdrawal;7
8;Data;2020-08-20T19:39:19;Viaduct hybrid;8
9;mesh;2020-08-21T18:04:58;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-08-21T16:03:52;Re-engineered withdrawal Ball;10
