id;placed_date;status;code;invoice_id;customer
1;2020-08-21T10:02:17;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-08-21T14:53:09;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-08-21T11:55:54;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-08-21T09:07:10;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-08-21T16:31:13;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-08-21T10:57:06;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-08-20T20:30:11;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-08-20T19:35:02;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-08-21T09:08:36;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-08-21T04:36:17;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
